ID,receiver_country,initiator_country,weighted_cyber_intensity,initiator_name,initiator_category,cyber_conflict_issue,receiver_region
689,Lebanon,Unknown,3.0,Zoopark,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF']"
689,Egypt,Unknown,3.0,Zoopark,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF']"
689,Morocco,Unknown,3.0,Zoopark,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF']"
689,Jordan,Unknown,3.0,Zoopark,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'MENA', 'MEA', 'AFRICA', 'NAF']"
690,France,Unknown,2.0,Anonymous Algeria,Non-state-group,System / ideology,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
691,United States,Unknown,1.0,Cyber Caliphate,Non-state-group,System / ideology,"['NATO', 'NORTHAM']"
692,France,Syria,1.0,Syrian Electronic Army,Non-state-group,System / ideology,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
693,Malaysia,Unknown,1.0,Lizard Squad,Non-state-group,System / ideology,"['ASIA', 'SCS', 'SEA']"
693,Malaysia,Unknown,1.0,Cyber Caliphate,Non-state-group,System / ideology,"['ASIA', 'SCS', 'SEA']"
694,Philippines,Unknown,1.0,Anonymous,Non-state-group,Subnational predominance,"['ASIA', 'SCS', 'SEA']"
694,Philippines,Unknown,1.0,Anonymous,Non-state-group,Secession,"['ASIA', 'SCS', 'SEA']"
695,United Kingdom,Russia,1.0,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007 (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",State,Other,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
