ID,receiver_country,initiator_country,weighted_cyber_intensity,initiator_name,initiator_category,cyber_conflict_issue,receiver_region
2,Armenia,Azerbaijan,1.0,Unknown,Non-state-group,Territory,"['ASIA', 'CENTAS', 'CSTO']"
2,Armenia,Azerbaijan,1.0,Unknown,Non-state-group,Secession,"['ASIA', 'CENTAS', 'CSTO']"
3,Azerbaijan,Armenia,1.0,Liazor,Non-state-group,Territory,"['ASIA', 'CENTAS']"
3,Azerbaijan,Armenia,1.0,Liazor,Non-state-group,Secession,"['ASIA', 'CENTAS']"
4,Taiwan,China,1.0,,Unknown - not attributed,National power,"['ASIA', 'SCS']"
5,United States,China,1.0,Honker Union,Non-state-group,Other,"['NATO', 'NORTHAM']"
6,China,United States,1.0,,Non-state-group,Other,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
7,Japan,"Korea, Republic of",1.0,Antijapan,Non-state-group,System / ideology,"['ASIA', 'SCS', 'NEA']"
7,Japan,"Korea, Republic of",1.0,Antijapan,Non-state-group,Other,"['ASIA', 'SCS', 'NEA']"
8,Afghanistan,Unknown,1.0,Unknown,Non-state-group,System / ideology,"['ASIA', 'SASIA']"
8,Afghanistan,Unknown,1.0,Unknown,Non-state-group,Cyber-specific,"['ASIA', 'SASIA']"
9,India,Pakistan,1.0,Unknown,Non-state-group,System / ideology,"['ASIA', 'SASIA', 'SCO']"
9,India,Pakistan,1.0,Unknown,Non-state-group,Territory,"['ASIA', 'SASIA', 'SCO']"
9,India,Pakistan,1.0,Unknown,Non-state-group,Resources,"['ASIA', 'SASIA', 'SCO']"
10,United States,United States,2.0,NSA/Equation Group,State,National power,"['NATO', 'NORTHAM']"
11,United States,China,2.0,,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,United Kingdom,China,2.0,,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
13,"Korea, Republic of","Korea, Democratic People's Republic of",1.0,,State,System / ideology,"['ASIA', 'SCS', 'NEA']"
14,Taiwan,China,1.0,None,Individual hacker(s),System / ideology,"['ASIA', 'SCS']"
14,Taiwan,China,1.0,None,Individual hacker(s),International power,"['ASIA', 'SCS']"
15,"Korea, Republic of",China,1.0,,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SCS', 'NEA']"
16,Greece,United States,3.0,NSA/Equation Group,State,International power,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
17,Japan,China,1.0,Unknown,Unknown,System / ideology,"['ASIA', 'SCS', 'NEA']"
17,Japan,China,1.0,Unknown,Unknown,International power,"['ASIA', 'SCS', 'NEA']"
17,Japan,"Korea, Republic of",1.0,Unknown,Unknown,System / ideology,"['ASIA', 'SCS', 'NEA']"
17,Japan,"Korea, Republic of",1.0,Unknown,Unknown,International power,"['ASIA', 'SCS', 'NEA']"
18,India,China,2.0,"APT30/Naikon/G0013 (PLA, Unit 78020)","Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,India,China,2.0,PLA Unit 78020,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,United States,China,2.0,"APT30/Naikon/G0013 (PLA, Unit 78020)","Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,United States,China,2.0,PLA Unit 78020,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Vietnam,China,2.0,"APT30/Naikon/G0013 (PLA, Unit 78020)","Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Vietnam,China,2.0,PLA Unit 78020,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Myanmar,China,2.0,"APT30/Naikon/G0013 (PLA, Unit 78020)","Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Myanmar,China,2.0,PLA Unit 78020,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Philippines,China,2.0,"APT30/Naikon/G0013 (PLA, Unit 78020)","Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Philippines,China,2.0,PLA Unit 78020,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,"Korea, Republic of",China,2.0,"APT30/Naikon/G0013 (PLA, Unit 78020)","Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,"Korea, Republic of",China,2.0,PLA Unit 78020,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Singapore,China,2.0,"APT30/Naikon/G0013 (PLA, Unit 78020)","Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Singapore,China,2.0,PLA Unit 78020,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Saudi Arabia,China,2.0,"APT30/Naikon/G0013 (PLA, Unit 78020)","Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Saudi Arabia,China,2.0,PLA Unit 78020,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Thailand,China,2.0,"APT30/Naikon/G0013 (PLA, Unit 78020)","Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,Thailand,China,2.0,PLA Unit 78020,"Non-state actor, state-affiliation suggested",Unknown,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
19,United States,Brazil,4.0,Poseidon Group,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,Brazil,Brazil,4.0,Poseidon Group,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,France,Brazil,4.0,Poseidon Group,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,Kazakhstan,Brazil,4.0,Poseidon Group,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,United Arab Emirates,Brazil,4.0,Poseidon Group,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,India,Brazil,4.0,Poseidon Group,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,Russia,Brazil,4.0,Poseidon Group,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
20,Kyrgyzstan,Kyrgyzstan,1.0,,Unknown - not attributed,System / ideology,"['ASIA', 'CENTAS', 'CSTO', 'SCS']"
20,Kyrgyzstan,Kyrgyzstan,1.0,,Unknown - not attributed,National power,"['ASIA', 'CENTAS', 'CSTO', 'SCS']"
21,Qatar,United States,2.0,NSA/Equation Group,State,International power,"['ASIA', 'MENA', 'MEA', 'GULFC']"
22,Russia,United States,2.0,NSA/Equation Group,State,System / ideology,"['EUROPE', 'EASTEU', 'CSTO', 'SCO']"
22,Russia,United States,2.0,NSA/Equation Group,State,International power,"['EUROPE', 'EASTEU', 'CSTO', 'SCO']"
23,United States,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",State,International power,"['NATO', 'NORTHAM']"
23,United States,China,2.0,PLA Unit 61398,State,International power,"['NATO', 'NORTHAM']"
24,United States,China,1.0,,State,Unknown,"['NATO', 'NORTHAM']"
25,United States,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,United States,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,United States,China,2.0,PLA Unit 61398,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,United States,China,2.0,PLA Unit 61398,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Canada,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Canada,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Canada,China,2.0,PLA Unit 61398,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Canada,China,2.0,PLA Unit 61398,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,"Korea, Republic of",China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,"Korea, Republic of",China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,"Korea, Republic of",China,2.0,PLA Unit 61398,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,"Korea, Republic of",China,2.0,PLA Unit 61398,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Taiwan,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Taiwan,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Taiwan,China,2.0,PLA Unit 61398,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Taiwan,China,2.0,PLA Unit 61398,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Vietnam,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Vietnam,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Vietnam,China,2.0,PLA Unit 61398,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Vietnam,China,2.0,PLA Unit 61398,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Germany,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Germany,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Germany,China,2.0,PLA Unit 61398,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Germany,China,2.0,PLA Unit 61398,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,India,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,India,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,India,China,2.0,PLA Unit 61398,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,India,China,2.0,PLA Unit 61398,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Japan,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Japan,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Japan,China,2.0,PLA Unit 61398,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,Japan,China,2.0,PLA Unit 61398,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,United Kingdom,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,United Kingdom,China,2.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,United Kingdom,China,2.0,PLA Unit 61398,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
25,United Kingdom,China,2.0,PLA Unit 61398,Non-state-group,Unknown,"['NATO', 'NORTHAM', 'ASIA', 'SCS', 'NEA', 'SEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO', 'NORTHEU']"
26,United States,China,2.0,"APT10/Stone Panda/MenuPass Team/Cloud Hopper/Red Apollo/Cicada/POTASSIUM/BRONZE RIVERSIDE/CVNX/HOGFISH/G0045 (MSS, Tianjin State Security Bureau)","Non-state actor, state-affiliation suggested",International power,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,Brazil,China,2.0,"APT10/Stone Panda/MenuPass Team/Cloud Hopper/Red Apollo/Cicada/POTASSIUM/BRONZE RIVERSIDE/CVNX/HOGFISH/G0045 (MSS, Tianjin State Security Bureau)","Non-state actor, state-affiliation suggested",International power,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,Canada,China,2.0,"APT10/Stone Panda/MenuPass Team/Cloud Hopper/Red Apollo/Cicada/POTASSIUM/BRONZE RIVERSIDE/CVNX/HOGFISH/G0045 (MSS, Tianjin State Security Bureau)","Non-state actor, state-affiliation suggested",International power,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,France,China,2.0,"APT10/Stone Panda/MenuPass Team/Cloud Hopper/Red Apollo/Cicada/POTASSIUM/BRONZE RIVERSIDE/CVNX/HOGFISH/G0045 (MSS, Tianjin State Security Bureau)","Non-state actor, state-affiliation suggested",International power,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,Switzerland,China,2.0,"APT10/Stone Panda/MenuPass Team/Cloud Hopper/Red Apollo/Cicada/POTASSIUM/BRONZE RIVERSIDE/CVNX/HOGFISH/G0045 (MSS, Tianjin State Security Bureau)","Non-state actor, state-affiliation suggested",International power,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,Germany,China,2.0,"APT10/Stone Panda/MenuPass Team/Cloud Hopper/Red Apollo/Cicada/POTASSIUM/BRONZE RIVERSIDE/CVNX/HOGFISH/G0045 (MSS, Tianjin State Security Bureau)","Non-state actor, state-affiliation suggested",International power,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,India,China,2.0,"APT10/Stone Panda/MenuPass Team/Cloud Hopper/Red Apollo/Cicada/POTASSIUM/BRONZE RIVERSIDE/CVNX/HOGFISH/G0045 (MSS, Tianjin State Security Bureau)","Non-state actor, state-affiliation suggested",International power,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,Japan,China,2.0,"APT10/Stone Panda/MenuPass Team/Cloud Hopper/Red Apollo/Cicada/POTASSIUM/BRONZE RIVERSIDE/CVNX/HOGFISH/G0045 (MSS, Tianjin State Security Bureau)","Non-state actor, state-affiliation suggested",International power,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,United Kingdom,China,2.0,"APT10/Stone Panda/MenuPass Team/Cloud Hopper/Red Apollo/Cicada/POTASSIUM/BRONZE RIVERSIDE/CVNX/HOGFISH/G0045 (MSS, Tianjin State Security Bureau)","Non-state actor, state-affiliation suggested",International power,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
26,United Arab Emirates,China,2.0,"APT10/Stone Panda/MenuPass Team/Cloud Hopper/Red Apollo/Cicada/POTASSIUM/BRONZE RIVERSIDE/CVNX/HOGFISH/G0045 (MSS, Tianjin State Security Bureau)","Non-state actor, state-affiliation suggested",International power,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA', 'SCO', 'SCS', 'NEA', 'NORTHEU', 'MENA', 'MEA', 'GULFC']"
27,Belgium,United States,2.0,NSA/Equation Group,State,International power,"['EUROPE', 'EU(MS)', 'NATO', 'WESTEU']"
28,Denmark,Unknown,1.0,,Non-state-group,System / ideology,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
29,United States,China,3.0,,Unknown - not attributed,Unknown,"['NATO', 'NORTHAM']"
30,Germany,Germany,1.0,BND,State,Unknown,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA']"
30,Afghanistan,Germany,1.0,BND,State,Unknown,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU', 'ASIA', 'SASIA']"
31,United States,China,2.0,,State,System / ideology,"['NATO', 'NORTHAM']"
32,United States,China,1.0,,"Non-state actor, state-affiliation suggested",Resources,"['NATO', 'NORTHAM']"
33,United States,China,2.0,,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM']"
34,United States,China,4.0,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",State,International power,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'ASIA', 'SCS', 'WESTEU', 'MENA', 'MEA', 'SASIA', 'SCO', 'NEA']"
