ID,start_date,industry_date,political_date,attacker_date,third_party_date,other_date,date_difference_ind,date_difference_pol,date_difference_att,date_difference_third,date_difference_other,date_difference_ind_months,date_difference_pol_months,date_difference_att_months,date_difference_third_months,date_difference_other_months,average_overall,receiver_country,initiator_country,incident_type,receiver_region
136,2010-01-01,,,,,,,,,,,,,,,,,Spain,Brazil,Data theft,"['SOUTHAM', 'NO_REGION', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'CSTO', 'SCO']"
136,2010-01-01,,,,,,,,,,,,,,,,,Russia,Brazil,Data theft,"['SOUTHAM', 'NO_REGION', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'CSTO', 'SCO']"
136,2010-01-01,,,,,,,,,,,,,,,,,Cuba,Brazil,Data theft,"['SOUTHAM', 'NO_REGION', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'CSTO', 'SCO']"
136,2010-01-01,,,,,,,,,,,,,,,,,Colombia,Brazil,Data theft,"['SOUTHAM', 'NO_REGION', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'CSTO', 'SCO']"
136,2010-01-01,,,,,,,,,,,,,,,,,Peru,Brazil,Data theft,"['SOUTHAM', 'NO_REGION', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'CSTO', 'SCO']"
137,2010-01-01,,,,2013-01-01,2013-01-01,,,,1096,1096,,,,36.5,36.5,36.5,Belgium,United Kingdom,Data theft,"['EUROPE', 'EU(MS)', 'NATO', 'WESTEU']"
137,2010-01-01,,,,2013-01-01,2013-01-01,,,,1096,1096,,,,36.5,36.5,36.5,Belgium,United Kingdom,Hijacking with Misuse,"['EUROPE', 'EU(MS)', 'NATO', 'WESTEU']"
138,2010-01-01,2016-01-01,,,,,2191,,,,,73.0,,,,,73.0,Japan,Unknown,Data theft,"['ASIA', 'SCS', 'NEA', 'NATO', 'NORTHAM', 'NO_REGION']"
138,2010-01-01,2016-01-01,,,,,2191,,,,,73.0,,,,,73.0,"Korea, Republic of",Unknown,Data theft,"['ASIA', 'SCS', 'NEA', 'NATO', 'NORTHAM', 'NO_REGION']"
138,2010-01-01,2016-01-01,,,,,2191,,,,,73.0,,,,,73.0,United States,Unknown,Data theft,"['ASIA', 'SCS', 'NEA', 'NATO', 'NORTHAM', 'NO_REGION']"
138,2010-01-01,2016-01-01,,,,,2191,,,,,73.0,,,,,73.0,Europe (region),Unknown,Data theft,"['ASIA', 'SCS', 'NEA', 'NATO', 'NORTHAM', 'NO_REGION']"
138,2010-01-01,2016-01-01,,,,,2191,,,,,73.0,,,,,73.0,Southeast Asia (region),Unknown,Data theft,"['ASIA', 'SCS', 'NEA', 'NATO', 'NORTHAM', 'NO_REGION']"
139,2010-01-01,,,,,,,,,,,,,,,,,Pakistan,India,Data theft,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'NORTHEU', 'GULFC']"
139,2010-01-01,,,,,,,,,,,,,,,,,"Iran, Islamic Republic of",India,Data theft,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'NORTHEU', 'GULFC']"
139,2010-01-01,,,,,,,,,,,,,,,,,United States,India,Data theft,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'NORTHEU', 'GULFC']"
139,2010-01-01,,,,,,,,,,,,,,,,,Norway,India,Data theft,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'NORTHEU', 'GULFC']"
139,2010-01-01,,,,,,,,,,,,,,,,,United Arab Emirates,India,Data theft,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'NATO', 'NORTHAM', 'EUROPE', 'NORTHEU', 'GULFC']"
140,2010-02-10,,,,,,,,,,,,,,,,,Australia,Unknown,Disruption,['OC']
141,2010-03-01,2010-01-01,,,2010-01-01,2010-01-01,,,,,,,,,,,,Vietnam,Vietnam,Data theft,"['ASIA', 'SCS', 'SEA']"
141,2010-03-01,2010-01-01,,,2010-01-01,2010-01-01,,,,,,,,,,,,Vietnam,Vietnam,Disruption,"['ASIA', 'SCS', 'SEA']"
141,2010-03-01,2010-01-01,,,2010-01-01,2010-01-01,,,,,,,,,,,,Vietnam,Vietnam,Hijacking with Misuse,"['ASIA', 'SCS', 'SEA']"
142,2010-03-01,,2018-01-01,,,2010-04-01,,2863,,,31,,95.4,,,1.0,95.4,United Kingdom,China,Data theft,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU', 'OC']"
142,2010-03-01,,2018-01-01,,,2010-04-01,,2863,,,31,,95.4,,,1.0,95.4,Australia,China,Data theft,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU', 'OC']"
143,2010-03-01,,,,,,,,,,,,,,,,,Latvia,Latvia,Data theft & Doxing,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
144,2010-04-01,,2015-01-01,,,,,1736,,,,,57.9,,,,57.9,United States,China,Data theft,"['NATO', 'NORTHAM']"
145,2010-04-01,,,,2013-01-01,2013-01-01,,,,1006,1006,,,,33.5,33.5,33.5,Netherlands,United States,Data theft,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
145,2010-04-01,,,,2013-01-01,2013-01-01,,,,1006,1006,,,,33.5,33.5,33.5,Netherlands,United States,Hijacking with Misuse,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
145,2010-04-01,,,,2013-01-01,2013-01-01,,,,1006,1006,,,,33.5,33.5,33.5,Netherlands,United Kingdom,Data theft,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
145,2010-04-01,,,,2013-01-01,2013-01-01,,,,1006,1006,,,,33.5,33.5,33.5,Netherlands,United Kingdom,Hijacking with Misuse,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
146,2010-04-02,,,,,,,,,,,,,,,,,India,China,Data theft,"['ASIA', 'SASIA', 'SCO', 'SCS', 'EASIA', 'NEA', 'NO_REGION']"
146,2010-04-02,,,,,,,,,,,,,,,,,China,China,Data theft,"['ASIA', 'SASIA', 'SCO', 'SCS', 'EASIA', 'NEA', 'NO_REGION']"
146,2010-04-02,,,,,,,,,,,,,,,,,United Nations Organization,China,Data theft,"['ASIA', 'SASIA', 'SCO', 'SCS', 'EASIA', 'NEA', 'NO_REGION']"
147,2010-06-01,,2011-01-01,,,,,214,,,,,7.1,,,,7.1,"Korea, Republic of",China,Data theft,"['ASIA', 'SCS', 'NEA']"
148,2010-06-01,,,2011-01-01,,,,,214,,,,,7.1,,,7.1,Yemen,United Kingdom,Disruption,"['ASIA', 'MENA', 'MEA']"
